English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
My car was stolen yesterday,আমার গাড়িটা গতকাল চুরি হয়ে গেছে,Amar gari-ta gotokal churi hoye geche,আর গাড়িয়ান গতো হালিয়া চুরি ওইয়ে,Ar garian goto haliya suri oiye,আময়ার গাড়ি ওগু গতকাইল চুরি অই গেছে,Amrar gari ogu gotokail suri oi gese
There was a theft at my house yesterday,আমার বাসায় গতকাল চুরি হয়েছে,Amar bashay gotokal churi hoyeche,আর ঘরত গতো হালিয়া রাইত ওত চুরি ওইয়ে,Ar ghorot goto haliya rait ot suri oiye,আমার বাসাত গতকাইল চুরি অই গেছে,Amar bashat gotokail suri oi gese
There was a theft at the house yesterday,বাসায় গতকাল চুরি হয়েছে,Bashay gotokal churi hoyeche,ঘরত গতো হালিয়া রাইত ওত চুরি ওইয়ে,Ghorot goto haliya rait ot suri oiye,বাসাত গতকাইল চুরি অই গেছে,Bashat gotokail suri oi gese
Theft happened yesterday,গতকাল চুরি হয়েছে,Gotokal churi hoyeche,গতো হালিয়া রাইত ওত চুরি ওইয়ে,Goto haliya rait ot suri oiye,গতকাইল চুরি অই গেছে,Gotokail suri oi gese
My car is red,আমার গাডির রঙ লাল,Amar garir rong laal,আর গাড়ির রঙ লাল,Ar garir rong lal,আমার গাড়ি ওগুর রঙ অইল লাল,Amar gari ogur rong oil lal
Car is red,গাডির রঙ লাল,Garir rong laal,গাড়ির রঙ লাল,Garir rong lal,গাড়ি ওগুর রঙ অইল লাল,Gari ogur rong oil lal
Should speak in simple language,সহজ ভাষায় কথা বলা উচিৎ,Shohoj bhashay kotha bola uchit,সহজ ভাষাত হতা হউয়া উচিৎ,Sohoj bhashat hota houa uchit,সহজ ভাষায় মাতা উচিৎ,Shohoz bashay mata usit
I am with you,আমি আপনার সংগে আছি,Ami apnar shonge achi,আই অনর ফয়ারে আছি,Ai onor foyare asi,আমি আফনার লগে আছি,Ami afnar loge asi
With you,আপনার সংগে আছি,Apnar shonge achi,অনর ফয়ারে আছি,Onor foyare asi,আফনার লগে আছি,Afnar loge asi
I am with,সংগে আছি,Shonge achi,ফয়ারে আছি,Foyare asi,লগে আছি,Loge asi
My father lives abroad,আমার আব্বু বিদেশ থাকে,Amar abbu bidesh thake,আর আব্বু বিদেশ তাকে,Ar abbu bidesh thake,আমার আব্বা বিদেশ থাকোইন,Amar abba bidesh takoin
Father lives abroad,আব্বু বিদেশ থাকে,Abbu bidesh thake,আব্বু বিদেশ তাকে,Abbu bidesh thake,আব্বা বিদেশ থাকোইন,Abba bidesh takoin
Lives abroad,বিদেশ থাকে,Bidesh thake,বিদেশ তাকে,Bidesh thake,বিদেশ থাকোইন,Bidesh takoin
My elder sister loves me very much,আমার বড় বোন আমাকে অনেক ভালোবাসে,Amar boro bon amake onek bhalobashe,আর বড় বইন আরে বহুত ভালোবাসে,Ar boro boin are bohut balobashe,আমার বর বইনে আমারে খুব ভালা ফায়,Amar bor boine amare khub bala fay
Elder sister loves me very much,বড় বোন আমাকে অনেক ভালোবাসে,Boro bon amake onek bhalobashe,বড় বইন আরে বহুত ভালোবাসে,Boro boin are bohut balobashe,বর বইনে আমারে খুব ভালা ফায়,Bor boine amare khub bala fay
Sister loves me very much,বোন আমাকে অনেক ভালোবাসে,Bon amake onek bhalobashe,বইন আরে বহুত ভালোবাসে,Boin are bohut balobashe,বইনে আমারে খুব ভালা ফায়,Boine amare khub bala fay
Loves me very much,আমাকে অনেক ভালোবাসে,Amake onek bhalobashe,আরে বহুত ভালোবাসে,Are bohut balobashe,আমারে খুব ভালা ফায়,Amare khub bala fay
My sister loves me very much,আমার বোন আমাকে অনেক ভালোবাসে,Amar bon amake onek bhalobashe,আর বইন আরে বহুত ভালোবাসে,Ar boin are bohut balobashe,আমার বইনে আমারে খুব ভালা ফায়,Amar boine amare khub bala fay
I love my elder sister very much,আমার বর বোনকে আমি অনেক ভালোবাসি,Amar boro bonke ami onek bhalobashi,আর বড় বইঙ্কে আই বহুত ভালোবাসি,Ar boro boinke ai bohut balobashi,আমার বড় বইনরে আমি খুব ভালা ফাই,Amar boro boinre ami khub bala fai
Love elder sister very much,বর বোনকে আমি অনেক ভালোবাসি,Boro bonke ami onek bhalobashi,বড় বইঙ্কে আই বহুত ভালোবাসি,Boro boinke ai bohut balobashi,বড় বইনরে আমি খুব ভালা ফাই,Boro boinre ami khub bala fai
Love sister very much,বোনকে আমি অনেক ভালোবাসি,Bonke ami onek bhalobashi,বইঙ্কে আই বহুত ভালোবাসি,Boinke ai bohut balobashi,বইনরে আমি খুব ভালা ফাই,Boinre ami khub bala fai
Has your elder sister gotten married?,আপনার বড় বোনের কি বিয়ে হয়ে গেছে?,Apnar boro boner ki biye hoye geche?,অনর বড় বইনের কি বিয়া ওই গেইয়ু নি?,Onor boro boiner ki biya oi geiyu ni?,আফনার বড় বইনের কিতা বিয়া অই গেছে নি?,Afnar boro boiner kita biya oi gese ni?
Has elder sister gotten married?,বড় বোনের কি বিয়ে হয়ে গেছে?,Boro boner ki biye hoye geche?,বড় বইনের কি বিয়া ওই গেইয়ু নি?,Boro boiner ki biya oi geiyu ni?,বড় বইনের কিতা বিয়া অই গেছে নি?,Boro boiner kita biya oi gese ni?
Has sister gotten married?,বোনের কি বিয়ে হয়ে গেছে?,Boner ki biye hoye geche?,বইনের কি বিয়া ওই গেইয়ু নি?,Boiner ki biya oi geiyu ni?,বইনের কিতা বিয়া অই গেছে নি?,Boiner kita biya oi gese ni?
Gotten married?,কি বিয়ে হয়ে গেছে?,Ki biye hoye geche?,কি বিয়া ওই গেইয়ু নি?,Ki biya oi geiyu ni?,কিতা বিয়া অই গেছে নি?,Kita biya oi gese ni?
Has your sister gotten married?,আপনার বোনের কি বিয়ে হয়ে গেছে?,Apnar boner ki biye hoye geche?,অনর বইনের কি বিয়া ওই গেইয়ু নি?,Onor boiner ki biya oi geiyu ni?,আফনার বইনের কিতা বিয়া অই গেছে নি?,Afnar boiner kita biya oi gese ni?
Have you gotten married?,আপনার কি বিয়ে হয়ে গেছে?,Apnar ki biye hoye geche?,অনর কি বিয়া ওই গেইয়ু নি?,Onor ki biya oi geiyu ni?,আফনার কিতা বিয়া অই গেছে নি?,Afnar kita biya oi gese ni?
What is your elder brother’s name?,তোর বড় ভাইয়ের নাম কি?,Tor boro bhaiyer naam ki?,তোর বড় বাইয়ের নাম কি,Tor boro baier naam ki,তোর বড় ভাইওর নাম কিতা?,Tor boro bhaior nam kita?
What’s elder brother’s name?,বড় ভাইয়ের নাম কি?,Boro bhaiyer naam ki?,বড় বাইয়ের নাম কি,Boro baier naam ki,বড় ভাইওর নাম কিতা?,Boro bhaior nam kita?
What’s brother’s name?,ভাইয়ের নাম কি?,Bhaiyer naam ki?,বাইয়ের নাম কি,Baier naam ki,ভাইওর নাম কিতা?,Bhaior nam kita?
Going abroad is my dream,বিদেশ ঘুরতে যাওয়া আমার স্বপ্ন,Bidesh ghurte jawa amar shopno,বিদেশত ঘুইরতো যাওয়া আর স্বপ্ন,Bideshot ghurto zaoa ar shopno,বিদেশ ঘুরাত যাওয়া আমার স্বপ্ন,Bidesh gurat zawa amar shopno
Going for a trip is my dream,ঘুরতে যাওয়া আমার স্বপ্ন,Ghurte jawa amar shopno,ঘুইরতো যাওয়া আর স্বপ্ন,Ghurto zaoa ar shopno,ঘুরাত যাওয়া আমার স্বপ্ন,Gurat zawa amar shopno
My dream,আমার স্বপ্ন,Amar shopno,আর স্বপ্ন,Ar shopno,আমার স্বপ্ন,Amar shopno
I will never forget you,আমি কখনো তোমাকে ভুলবো না,Ami kokhono tomake bhulbo na,আই হন ওত্তে তোয়ারে ন ভুইল্লম,Ai hon otte toare no bhullom,আমি কোনো সময়ও তোমারে ভুলতাম না,Ami kunu shomoy-o tumare bultam na
Never forget you,কখনো তোমাকে ভুলবো না,Kokhono tomake bhulbo na,হন ওত্তে তোয়ারে ন ভুইল্লম,Hon otte toare no bhullom,কোনো সময়ও তোমারে ভুলতাম না,Kunu shomoy-o tumare bultam na
Forget you,তোমাকে ভুলবো না,Tomake bhulbo na,তোয়ারে ন ভুইল্লম,Toare no bhullom,তোমারে ভুলতাম না,Tumare bultam na
Won’t forget,ভুলবো না,Bhulbo na,ন ভুইল্লম,No bhullom,ভুলতাম না,Bultam na
You are the light of my life,তুমি আমার জীবনের আলো,Tumi amar jiboner alo,তুই আর জীবনের আলো,Tui ar jiboner alo,তুমাইতাইম অইলায় আমার জীবনের আলো,Tumitaim oilay amar ziboner alo
Light of my life,আমার জীবনের আলো,Amar jiboner alo,আর জীবনের আলো,Ar jiboner alo,অইলায় আমার জীবনের আলো,Oilay amar ziboner alo
Light of life,জীবনের আলো,Jiboner alo,জীবনের আলো,Jiboner alo,জীবনের আলো,Ziboner alo
Take me there,আমাকে সেখানে নিয়ে চলো,Amake shekhane niye cholo,আরে এদে লই জ,Are ede loi zo,আমারে অনো লইয়া চলো,Amare ono loiya solo
Take there,সেখানে নিয়ে চলো,Shekhane niye cholo,এদে লই জ,Ede loi zo,অনো লইয়া চলো,Ono loiya solo
"Once upon a time in a village, there was a hat seller",অনেকদিন আগে এক গ্রামে এক টুপি বিক্রেতা ছিলেন,Onekdin aage ek grame ek tupi bikreta chilen,বউদ্দিন আগে এক গেরামত এক টুফিওয়ালা আছিলো,Bouddin age ek geramot ek tufiwala asilo,বাক্কা দিন আগে এক গ্রামো এক টুপিয়ালা আছিল,Bakka din age ek gramo ek tupiala asil
"In a village, there was a hat seller",এক গ্রামে এক টুপি বিক্রেতা ছিলেন,Ek grame ek tupi bikreta chilen,এক গেরামত এক টুফিওয়ালা আছিলো,Ek geramot ek tufiwala asilo,এক গ্রামো এক টুপিয়ালা আছিল,Ek gramo ek tupiala asil
There was a hat seller,এক টুপি বিক্রেতা ছিলেন,Ek tupi bikreta chilen,এক টুফিওয়ালা আছিলো,Ek tufiwala asilo,এক টুপিয়ালা আছিল,Ek tupiala asil
Hat seller was there,টুপি বিক্রেতা ছিলেন,Tupi bikreta chilen,টুফিওয়ালা আছিলো,Tufiwala asilo,টুপিয়ালা আছিল,Tupiala asil
"At that time, a fox was passing by",সেই সময় পাশ দিয়ে এক শিয়াল যাচ্ছিলো,Shei shomoy pash diye ek shiyal jacchilo,এত্তে দাহদ্দি ওগগা ইয়াল যার,Ette dahoddi ogga iyal zaar,হে সময় কান্দা দিয়া একগু শিয়াল যাইতো আছিলো,He shomoy kanda diya ekgu shiyal zaito asilo
Seeing you,তোমাকে দেখে ,Tomake dekhe,তুয়ারে দেহি ,Tuare dehi,তুমাকে দেখিয়া ,Tumake dekhiya
I stood still,থমকে দাঁড়িয়ে ছিলাম,Thomke dariye chilam,দোর ওই তিয়ায় আছিলাম,Dor oi tiyai asilam,ভেমতালা লাগিয়া উবাই রইছিলাম,Bemtala lagiya ubai roisilam
Stood still,দাঁড়িয়ে ছিলাম,Dariye chilam,তিয়ায় আছিলাম,Tiyai asilam,উবাই রইছিলাম,Ubai roisilam
Dad bought me a red dress,আব্বু আমার জন্য লাল জামা কিনে এনেছে,Abbu amar jonno laal jama kine eneche,আব্বু আর লাই লাল জামা কিনি আইন্ন্যে,Abbu ar lai lal jama kini ainne,আব্বায় মোর লাগি লাল জামা কিনিয়া আনছইন,Abbay mor lagi lal zama kiniya ansoin
Bought me a red dress,আমার জন্য লাল জামা কিনে এনেছে,Amar jonno laal jama kine eneche,আর লাই লাল জামা কিনি আইন্ন্যে,Ar lai lal jama kini ainne,মোর লাগি লাল জামা কিনিয়া আনছইন,Mor lagi lal zama kiniya ansoin
Red dress bought,লাল জামা কিনে এনেছে,Laal jama kine eneche,লাল জামা কিনি আইন্ন্যে,Lal jama kini ainne,লাল জামা কিনিয়া আনছইন,Lal zama kiniya ansoin
Bought dress,জামা কিনে এনেছে,Jama kine eneche,জামা কিনি আইন্ন্যে,Jama kini ainne,জামা কিনিয়া আনছইন,Zama kiniya ansoin
Bought,কিনে এনেছে,Kine eneche,কিনি আইন্ন্যে,Kini ainne,কিনিয়া আনছইন,Kiniya ansoin
Dad bought a red dress,আব্বু লাল জামা কিনে এনেছে,Abbu lal jama kine eneche,আব্বু লাল জামা কিনি আইন্ন্যে,Abbu lal jama kini ainne,আব্বায় লাল জামা কিনিয়া আনছইন,Abbay lal zama kiniya ansoin
Dad bought a dress,আব্বু জামা কিনে এনেছে,Abbu jama kine eneche,আব্বু জামা কিনি আইন্ন্যে,Abbu jama kini ainne,আব্বায় জামা কিনিয়া আনছইন,Abbay zama kiniya ansoin
Dad bought,আব্বু কিনে এনেছে,Abbu kine eneche,আব্বু কিনি আইন্ন্যে,Abbu kini ainne,আব্বায় কিনিয়া আনছইন,Abbay kiniya ansoin
Dad bought me a green dress,আব্বু আমার জন্য সবুজ  জামা কিনে এনেছে,Abbu amar jonno shobuj jama kine eneche,আব্বু আর লাই সবুজ  জামা কিনি আইন্ন্যে,Abbu ar lai sobuj jama kini ainne,আব্বায় মোর লাগি সবুজ  জামা কিনিয়া আনছইন,Abbay mor lagi shobuz zama kiniya ansoin
Dad bought me a black dress,আব্বু আমার জন্য কালো   জামা কিনে এনেছে,Abbu amar jonno kalo jama kine eneche,আব্বু আর লাই কালো  জামা কিনি আইন্ন্যে,Abbu ar lai kalo jama kini ainne,আব্বায় মোর লাগি কালো জামা কিনিয়া আনছইন,Abbay mor lagi kalo zama kiniya ansoin
Dad bought me a white dress,আব্বু আমার জন্য সাদা জামা কিনে এনেছে,Abbu amar jonno shada jama kine eneche,আব্বু আর লাই সাদা জামা কিনি আইন্ন্যে,Abbu ar lai sada jama kini ainne,আব্বায় মোর লাগি সাদা জামা কিনিয়া আনছইন ,Abbay mor lagi shada zama kiniya ansoin
Dad bought me a blue dress,আব্বু আমার জন্য নীল জামা কিনে এনেছে,Abbu amar jonno nil jama kine eneche,আব্বু আর লাই নীল জামা কিনি আইন্ন্যে,Abbu ar lai nil jama kini ainne,আব্বায় মোর লাগি নীল জামা কিনিয়া আনছইন,Abbay mor lagi nil zama kiniya ansoin
The hair is very long,চুলগুলো অনেক লম্বা,Chulgulo onek lomba,চুললিন বহুত লম্বা,Chullin bohut lamba,চুলগুন যে লম্বা,Sulgun ze lomba
Very long,অনেক লম্বা,Onek lomba,বহুত লম্বা,Bohut lamba,যে লম্বা,Ze lomba
She looks good with kajal,তাকে কাজল দিলে অনেক ভালো লাগে,Take kajol dile onek bhalo lage,ইবারে হাজল দিলে বহুত ভালা লাগে,Ibare hazol dile bohut bala lage,তারে কাজল দিলে বাক্কা ভালা লাগে,Tare kazol dile bakka bala lage
Looks good with kajal,কাজল দিলে অনেক ভালো লাগে,Kajol dile onek bhalo lage,হাজল দিলে বহুত ভালা লাগে,Hazol dile bohut bala lage,কাজল দিলে বাক্কা ভালা লাগে,Kazol dile bakka bala lage
Looks very good,অনেক ভালো লাগে,Onek bhalo lage,বহুত ভালা লাগে,Bohut bala lage,বাক্কা ভালা লাগে,Bakka bala lage
I’m happy if you stay here,তুমি এখানে থাকলে আমি খুশি,Tumi ekhane thakle ami khushi,তুই এদে থাকিলে আই খুশি,Tui ede thakile ai khushi,তুমি অনো থাকলে আমি খুশি,Tumi ono takle ami khushi
"If you stay here, I’m happy",এখানে থাকলে আমি খুশি,Ekhane thakle ami khushi,এদে থাকিলে আই খুশি,Ede thakile ai khushi,অনো থাকলে আমি খুশি,Ono takle ami khushi
"Stay here, I’m happy",থাকলে আমি খুশি,Thakle ami khushi,থাকিলে আই খুশি,Thakile ai khushi,থাকলে আমি খুশি,Takle ami khushi
I am happy,আমি খুশি,Ami khushi,আই খুশি,Ai khushi,আমি খুশি,Ami khushi
My red car was stolen yesterday,আমার লাল রঙের গাড়িটা গতকাল চুরি হয়ে গেছে,Amar lal ronger garita gotokal churi hoye geche,আর লাল রঙ ওর গাড়িয়ান গতো হালিয়া চুরি ওইয়ে,Ar lal rong or garian goto haliya suri oiye,আময়ার লাল রঙ ওর গাড়ি ওগু গতকাইল চুরি অই গেছে,Amrar lal rong or gari ogu gotokail suri oi gese
Red car was stolen yesterday,লাল রঙের গাড়িটা গতকাল চুরি হয়ে গেছে,Lal ronger garita gotokal churi hoye geche,লাল রঙ ওর গাড়িয়ান গতো হালিয়া চুরি ওইয়ে,Lal rong or garian goto haliya suri oiye,লাল রঙ ওর গাড়ি ওগু গতকাইল চুরি অই গেছে,Lal rong or gari ogu gotokail suri oi gese
The car was stolen yesterday,গাড়িটা গতকাল চুরি হয়ে গেছে,Garita gotokal churi hoye geche,গাড়িয়ান গতো হালিয়া চুরি ওইয়ে,Garian goto haliya suri oiye,গাড়ি ওগু গতকাইল চুরি অই গেছে,Gari ogu gotokail suri oi gese
Stolen yesterday,গতকাল চুরি হয়ে গেছে,Gotokal churi hoye geche,গতো হালিয়া চুরি ওইয়ে,Goto haliya suri oiye,গতকাইল চুরি অই গেছে,Gotokail suri oi gese
Stolen,চুরি হয়ে গেছে,Churi hoye geche,চুরি ওইয়ে,Suri oiye,চুরি অই গেছে,Suri oi gese
"On Friday, we lost",শুক্রবার আমরা হেরে গেছি,Shukrobar amra here gechi,শুক্রবার আই আরি গিয়ি ,Shukrobar ai ari giyi,শুক্রবার আমরা হারি গেছি,Shukrobar amra hari gesi
He insults me,সে আমাকে অপমান করে,Se amake opoman kore,ইতে আরে অফমান গরিয়ে,Ite are ofman goriye,হে আমারে অফমান করে,He amare ofoman kore
Insults me,আমাকে অপমান করে,Amake opoman kore,আরে অফমান গরিয়ে,Are ofman goriye,আমারে অফমান করে,Amare ofoman kore
Insults,অপমান করে,Opoman kore,অফমান গরিয়ে,Ofman goriye,অফমান করে,Ofoman kore
He insults,সে অপমান করে,Se opoman kore,ইতে অফমান গরিয়ে,Ite ofman goriye,হে অফমান করে,He ofoman kore
Do you know me?,তুমি কি আমাকে চিনো?,Tumi ki amake chino?,তুই কি আরে চিনো নি,Tui ki are sino ni,তুমি আমারে চিনো নি?,Tumi amare sino ni?
"On Friday, mom was right",শুক্রবার মা ঠিকই বলেছিল,Shukrobar ma thiki bolechilo,শুক্রবার মা ঠিক হতাই হইলো,Shukrobar ma thik hotai hoilo,শুক্রবার আম্মায় থিক কথাউ কইছলা,Shukrobar ammay thik kotau koisola
I will go there on Friday,শুক্রবার আমি ওখানে যাব,Shukrobar ami okhane jabo,শুক্রবার আমি এন্ডে যাইয়ুম ,Shukrobar ami ende zaiyum,শুক্রবার আমি ওখানো যাইমু ,Shukrobar ami okhano zaimu
Won’t go that way on Friday,শুক্রবার ওদিকে যাব না,Shukrobar odike jabo na,শুক্রবার ইক্কে নযাইয়ুম ,Shukrobar ikke nozaiyum,শুক্রবার ওবায় যাইতাম না,Shukrobar obay zaitam na
Will go that way on Friday,শুক্রবার ওদিকে যাব,Shukrobar odike jabo,শুক্রবার ইক্কে যাইয়ুম ,Shukrobar ikke zaiyum,শুক্রবার ওবায় যাইমু,Shukrobar obay zaimu
Do you know me?,তুমি আমাকে চিনো?,Tumi amake chino?,তুই আরে চিনো নি,Tui are sino ni,তুমি আমারে চিনো নি?,Tumi amare sino ni?
Know me?,আমাকে চিনো?,Amake chino?,আরে চিনো নি,Are sino ni,আমারে চিনো নি?,Amare sino ni?
I played football this morning,আমি আজ সকালে ফুটবল খেলেছি,Ami aj shokale football khelechi,আই আজিয়া বিয়াইন্না ফুটবল খেলা আইহি,Ai azia biainna football khela aihi,মুই আইজ বিয়ানে ফুটবল খেলাইছি,Mui aiz biyane football khelaisi
Played football this morning,আজ সকালে ফুটবল খেলেছি,Aj shokale football khelechi,আজিয়া বিয়াইন্না ফুটবল খেলা আইহি,Azia biainna football khela aihi,আইজ বিয়ানে ফুটবল খেলাইছি,Aiz biyane football khelaisi
Played football in the morning,সকালে ফুটবল খেলেছি,Shokale football khelechi,বিয়াইন্না ফুটবল খেলা আইহি,Biainna football khela aihi,বিয়ানে ফুটবল খেলাইছি,Biyane football khelaisi
I played football in the morning,আমি সকালে ফুটবল খেলেছি,Ami shokale football khelechi,আই বিয়াইন্না ফুটবল খেলা আইহি,Ai biainna football khela aihi,মুই বিয়ানে ফুটবল খেলাইছি,Mui biyane football khelaisi
I played football,আমি ফুটবল খেলেছি,Ami football khelechi,আই ফুটবল খেলা আইহি,Ai football khela aihi,মুই ফুটবল খেলাইছি,Mui football khelaisi
I don’t understand what you feel,আমি তোমার মনের কথা বুঝি না,Ami tomar moner kotha bujhi na,আই তুয়ার মনের হতা ন বুঝি,Ai tuar moner hota no bujhi,মুই তুমার মনের কথা বুঝি না,Mui tumar moner kotha buzi na
Don’t understand what you feel,তোমার মনের কথা বুঝি না,Tomar moner kotha bujhi na,তুয়ার মনের হতা ন বুঝি,Tuar moner hota no bujhi,তুমার মনের কথা বুঝি না,Tumar moner kotha buzi na
Don’t understand the feelings,মনের কথা বুঝি না,Moner kotha bujhi na,মনের হতা ন বুঝি,Moner hota no bujhi,মনের কথা বুঝি না,Moner kotha buzi na
I don’t understand the feelings,আমি মনের কথা বুঝি না,Ami moner kotha bujhi na,আই মনের হতা ন বুঝি,Ai moner hota no bujhi,মুই মনের কথা বুঝি না,Mui moner kotha buzi na
I don’t understand,আমি কথা বুঝি না,Ami kotha bujhi na,আই হতা ন বুঝি,Ai hota no bujhi,মুই কথা বুঝি না,Mui kotha buzi na
I don’t understand,আমি বুঝি না,Ami bujhi na,আই ন বুঝি,Ai no bujhi,মুই বুঝি না,Mui buzi na
I feel very bad for you,তোমার জন্য আমার খুব কষ্ট হয়,Tomar jonno amar khub koshto hoy,তুয়ার লাই আর খুব কষ্ট অয়,Tuar lai ar khub koshto oy,তুমার লাগি আমার খুব কষ্ট অয়,Tumar lagi amar khub koshto oy
Feel very bad,আমার খুব কষ্ট হয়,Amar khub koshto hoy,আর খুব কষ্ট অয়,Ar khub koshto oy,আমার খুব কষ্ট অয়,Amar khub koshto oy
Our dream is big,আমাদের স্বপ্ন অনেক বড়,Amader shopno onek boro,আরার স্বপ্ন বহুত দূর,Arar shopno bohut dur,আমরার স্বপ্ন বহুত বড়,Amrar shopno bohut boro
I am a boy,আমি একজন ছেলে,Ami ekjon chele,আই ওগগা ফুয়া,Ai ogga fua,মুই এখটা ফুয়া,Mui ekhta fua
I am a girl,আমি একজন মেয়ে,Ami ekjon meye,আই ওগগা মাইফুয়া,Ai ogga maifua,মুই এখটা ফুরি,Mui ekhta furi
Nice to meet you,আপনার সাথে পরিচিত হয়ে ভালো লাগলো,Apnar shathe porichito hoye bhalo laglo,অনর লাই ফরিচয় ওই বহুত বালা লাইগগে,Onor lai forisoy oi bohut bala laigge,আফনার লগে ফরিচিতো অইয়া ভালা লাগলো,Afnar loge forisito oiya bala laglo
Nice meeting,পরিচিত হয়ে ভালো লাগলো,Porichito hoye bhalo laglo,ফরিচয় ওই বহুত বালা লাইগগে,Forisoy oi bohut bala laigge,ফরিচিতো অইয়া ভালা লাগলো,Forisito oiya bala laglo
Good feeling,ভালো লাগলো,Bhalo laglo,বালা লাইগগে,Bala laigge,ভালা লাগলো,Bala laglo
Seeing you after a long time,অনেক সময় পর আপনাকে দেখছি,Onek shomoy por apnake dekhchi,বহুত দিন ফর অন রে দেহি,Bohut din for on re dehi,বাক্কা সময় পর আফনারে দেখলাম,Bakka shomoy por afnare dekhlam
After a long time,অনেক সময় পর ,Onek shomoy por,বহুত দিন ফর ,Bohut din for,বাক্কা সময় পর ,Bakka shomoy por
Seeing you,আপনাকে দেখছি,Apnake dekhchi,অন রে দেহি,On re dehi,আফনারে দেখলাম,Afnare dekhlam
"First, you have to go to a shop",প্রথমে আপনাকে একটি দোকানে যেতে হবে,Prothome apnake ekti dokane jete hobe,ফাস্টে অনত তুন এক্কান দোয়ান ওত যা ফরিবো,Faste onot tun ekkan doyan ot za foribo,পয়লা আফনারে এখটা দুকানো যাওয়া লাগবো,Poyla afnare ekhta dukano zawa lagbo
You have to go to a shop,আপনাকে একটি দোকানে যেতে হবে,Apnake ekti dokane jete hobe,অনত তুন এক্কান দোয়ান ওত যা ফরিবো,Onot tun ekkan doyan ot za foribo,আফনারে এখটা দুকানো যাওয়া লাগবো,Afnare ekhta dukano zawa lagbo
Have to go to a shop,একটি দোকানে যেতে হবে,Ekti dokane jete hobe,এক্কান দোয়ান ওত যা ফরিবো,Ekkan doyan ot za foribo,এখটা দুকানো যাওয়া লাগবো,Ekhta dukano zawa lagbo
Have to go to the shop,দোকানে যেতে হবে,Dokane jete hobe,দোয়ান ওত যা ফরিবো,Doyan ot za foribo,দুকানো যাওয়া লাগবো,Dukano zawa lagbo
Must go,যেতে হবে,Jete hobe,ওত যা ফরিবো,Ot za foribo,যাওয়া লাগবো,Zawa lagbo
"First, go to a shop",প্রথমে একটি দোকানে যেতে হবে,Prothome ekti dokane jete hobe,ফাস্টে এক্কান দোয়ান ওত যা ফরিবো,Faste ekkan doyan ot za foribo,পয়লা এখটা দুকানো যাওয়া লাগবো,Poyla ekhta dukano zawa lagbo
"First, go to the shop",প্রথমে দোকানে যেতে হবে,Prothome dokane jete hobe,ফাস্টে দোয়ান ওত যা ফরিবো,Faste doyan ot za foribo,পয়লা দুকানো যাওয়া লাগবো,Poyla dukano zawa lagbo
Seeing you after a long time,অনেক দিন পর তোমাকে দেখলাম,Onek din por tomake dekhlam,বহুত দিন ফর তুয়ারে দেহিলাম,Bohut din for tuare dehilam,বাক্কা দিন বাদে তুমারে দেখলাম,Bakka din bade tumare dekhlam
After a long time,অনেক দিন পর ,Onek din por,বহুত দিন ফর ,Bohut din for,বাক্কা দিন বাদে ,Bakka din bade
Saw you,তোমাকে দেখলাম,Tomake dekhlam,তুয়ারে দেহিলাম,Tuare dehilam,তুমারে দেখলাম,Tumare dekhlam
Stood still seeing you,তোমাকে দেখে থমকে দাঁড়িয়ে ছিলাম,Tomake dekhe thomke dariye chilam,তুয়ারে দেহি দোর ওই তিয়ায় আছিলাম,Tuare dehi dor oi tiyai asilam,তুমাকে দেখিয়া ভেমতালা লাগিয়া উবাই রইছিলাম,Tumake dekhiya bemtala lagiya ubai roisilam
Seeing you,তোমাকে দেখে ,Tomake dekhe,তুয়ারে দেহি ,Tuare dehi,তুমাকে দেখিয়া ,Tumake dekhiya
Stood still,থমকে দাঁড়িয়ে ছিলাম,Thomke dariye chilam,দোর ওই তিয়ায় আছিলাম,Dor oi tiyai asilam,ভেমতালা লাগিয়া উবাই রইছিলাম,Bemtala lagiya ubai roisilam
Dad bought me a red dress,দাঁড়িয়ে ছিলাম,Dariye chilam,তিয়ায় আছিলাম,Tiyai asilam,উবাই রইছিলাম,Ubai roisilam
Bought me a red dress,আব্বু আমার জন্য লাল জামা কিনে এনেছে,Abbu amar jonno lal jama kine eneche,আব্বু আর লাই লাল জামা কিনি আইন্ন্যে,Abbu ar lai lal jama kini ainne,আব্বায় মোর লাগি লাল জামা কিনিয়া আনছইন,Abbay mor lagi lal zama kiniya ansoin
Red dress bought,আমার জন্য লাল জামা কিনে এনেছে,Amar jonno lal jama kine eneche,আর লাই লাল জামা কিনি আইন্ন্যে,Ar lai lal jama kini ainne,মোর লাগি লাল জামা কিনিয়া আনছইন,Mor lagi lal zama kiniya ansoin
Bought dress,লাল জামা কিনে এনেছে,Lal jama kine eneche,লাল জামা কিনি আইন্ন্যে,Lal jama kini ainne,লাল জামা কিনিয়া আনছইন,Lal zama kiniya ansoin
Bought,জামা কিনে এনেছে,Jama kine eneche,জামা কিনি আইন্ন্যে,Jama kini ainne,জামা কিনিয়া আনছইন,Zama kiniya ansoin
Dad bought a red dress,কিনে এনেছে,Kine eneche,কিনি আইন্ন্যে,Kini ainne,কিনিয়া আনছইন,Kiniya ansoin
